Tm,Avg,Rank,Multiplier
Tennessee Titans,137,1,1.3
New York Jets,148.8333333,2,1.2
Miami Dolphins,159.6,3,1.2
Houston Texans,163.1666667,4,1.1
Denver Broncos,170.1666667,5,1.1
Chicago Bears,180,6,1.1
Las Vegas Raiders,186.1666667,7,1.1
Los Angeles Chargers,192,8,1.1
Atlanta Falcons,193,9,1.1
Seattle Seahawks,195,10,1.1
Cleveland Browns,196.3333333,11,1
New York Giants,197.6666667,12,1
Pittsburgh Steelers,208.6666667,13,1
Cincinnati Bengals,210,14,1
Buffalo Bills,210.6666667,15,1
Dallas Cowboys,213.3333333,16,1
San Francisco 49ers,215.1666667,17,1
Los Angeles Rams,216.2,18,1
Washington Commanders,216.3333333,19,1
Kansas City Chiefs,217,20,1
Philadelphia Eagles,218.4,21,1
Arizona Cardinals,220.3333333,22,1
Carolina Panthers,226.3333333,23,0.9
New England Patriots,228.5,24,0.9
Green Bay Packers,228.6666667,25,0.9
Indianapolis Colts,234.3333333,26,0.9
Detroit Lions,246.2,27,0.9
Tampa Bay Buccaneers,252.3333333,28,0.9
New Orleans Saints,262.1666667,29,0.9
Minnesota Vikings,263,30,0.9
Baltimore Ravens,275.6666667,31,0.9
Jacksonville Jaguars,276.6666667,32,0.8
